reaction,metabolite,flux,reaction.1,global_id
EX_csn_m,csn,0.2,EX_csn_m,EX_csn(e)
EX_cytd_m,cytd,0.2,EX_cytd_m,EX_cytd(e)
EX_dad_2_m,dad_2,0.2,EX_dad_2_m,EX_dad_2(e)
EX_dcyt_m,dcyt,0.2,EX_dcyt_m,EX_dcyt(e)
EX_dgsn_m,dgsn,0.2,EX_dgsn_m,EX_dgsn(e)
EX_glyc_m,glyc,0.359931,EX_glyc_m,EX_glyc(e)
EX_gua_m,gua,0.2,EX_gua_m,EX_gua(e)
EX_mqn8_m,mqn8,0.2,EX_mqn8_m,EX_mqn8(e)
EX_phe_L_m,phe_L,0.2867289714163815,EX_phe_L_m,EX_phe_L(e)
EX_pydam_m,pydam,0.3149068322981362,EX_pydam_m,EX_pydam(e)
EX_pydxn_m,pydxn,0.3149068322981381,EX_pydxn_m,EX_pydxn(e)
EX_q8_m,q8,1.0,EX_q8_m,EX_q8(e)
EX_sheme_m,sheme,1.0,EX_sheme_m,EX_sheme(e)
EX_thm_m,thm,0.267595818815331,EX_thm_m,EX_thm(e)
EX_tyr_L_m,tyr_L,0.2718549715523292,EX_tyr_L_m,EX_tyr_L(e)
EX_uri_m,uri,0.2,EX_uri_m,EX_uri(e)
EX_chol_m,chol,0.2,EX_chol_m,EX_chol(e)
EX_drib_m,drib,0.0357566,EX_drib_m,EX_drib(e)
EX_glyc3p_m,glyc3p,0.2,EX_glyc3p_m,EX_glyc3p(e)
EX_inulin_m,inulin,0.0004701945,EX_inulin_m,EX_inulin(e)
EX_rib_D_m,rib_D,0.0357566,EX_rib_D_m,EX_rib_D(e)
EX_thr_L_m,thr_L,0.0665217423035879,EX_thr_L_m,EX_thr_L(e)
EX_12dgr180_m,12dgr180,1.0,EX_12dgr180_m,EX_12dgr180(e)
EX_amp_m,amp,0.2,EX_amp_m,EX_amp(e)
EX_arab_L_m,arab_L,0.0357566,EX_arab_L_m,EX_arab_L(e)
EX_indole_m,indole,1.0,EX_indole_m,EX_indole(e)
EX_xyl_D_m,xyl_D,0.0357566,EX_xyl_D_m,EX_xyl_D(e)
EX_4hbz_m,4hbz,0.2,EX_4hbz_m,EX_4hbz(e)
EX_acnam_m,acnam,0.2,EX_acnam_m,EX_acnam(e)
EX_gal_m,gal,1.0042760000000022,EX_gal_m,EX_gal(e)
EX_gthrd_m,gthrd,0.2,EX_gthrd_m,EX_gthrd(e)
EX_ncam_m,ncam,0.2973695315796883,EX_ncam_m,EX_ncam(e)
EX_ocdcea_m,ocdcea,0.1746830280971776,EX_ocdcea_m,EX_ocdcea(e)
EX_ala_D_m,ala_D,0.2,EX_ala_D_m,EX_ala_D(e)
EX_no2_m,no2,0.2,EX_no2_m,EX_no2(e)
EX_adn_m,adn,0.2,EX_adn_m,EX_adn(e)
EX_arab_D_m,arab_D,1.0,EX_arab_D_m,EX_arab_D(e)
EX_cellb_m,cellb,0.074493,EX_cellb_m,EX_cellb(e)
EX_lcts_m,lcts,0.0959420647703459,EX_lcts_m,EX_lcts(e)
EX_melib_m,melib,0.074493,EX_melib_m,EX_melib(e)
EX_rmn_m,rmn,0.148986,EX_rmn_m,EX_rmn(e)
EX_strch1_m,strch1,2.5,EX_strch1_m,EX_strch1(e)
EX_chor_m,chor,1.0,EX_chor_m,EX_chor(e)
EX_glcn_m,glcn,0.0297972,EX_glcn_m,EX_glcn(e)
EX_oxa_m,oxa,0.0893914,EX_oxa_m,EX_oxa(e)
EX_raffin_m,raffin,0.0047019445,EX_raffin_m,EX_raffin(e)
EX_core2_m,core2,1.0,EX_core2_m,EX_core2(e)
EX_core3_m,core3,1.0,EX_core3_m,EX_core3(e)
EX_core4_m,core4,1.0,EX_core4_m,EX_core4(e)
EX_core5_m,core5,1.0,EX_core5_m,EX_core5(e)
EX_core6_m,core6,1.0,EX_core6_m,EX_core6(e)
EX_core7_m,core7,1.0,EX_core7_m,EX_core7(e)
EX_core8_m,core8,1.0,EX_core8_m,EX_core8(e)
EX_fuc_L_m,fuc_L,0.0297972,EX_fuc_L_m,EX_fuc_L(e)
EX_gncore1_m,gncore1,1.0,EX_gncore1_m,EX_gncore1(e)
EX_gncore2_m,gncore2,1.0,EX_gncore2_m,EX_gncore2(e)
EX_pullulan1200_m,pullulan1200,1.17549e-05,EX_pullulan1200_m,EX_pullulan1200(e)
EX_succ_m,succ,0.0020024175,EX_succ_m,EX_succ(e)
EX_gthox_m,gthox,0.2,EX_gthox_m,EX_gthox(e)
EX_gchola_m,gchola,1.0,EX_gchola_m,EX_gchola(e)
EX_gsn_m,gsn,0.2,EX_gsn_m,EX_gsn(e)
EX_lanost_m,lanost,0.2,EX_lanost_m,EX_lanost(e)
EX_tchola_m,tchola,1.0,EX_tchola_m,EX_tchola(e)
EX_pime_m,pime,1.0,EX_pime_m,EX_pime(e)
EX_kestopt_m,kestopt,0.0028211667,EX_kestopt_m,EX_kestopt(e)
EX_mobd_m,mobd,1.0,EX_mobd_m,EX_mobd(e)
EX_meoh_m,meoh,2.0,EX_meoh_m,EX_meoh(e)
EX_pect_m,pect,6.677320000000001e-06,EX_pect_m,EX_pect(e)
EX_xylan_m,xylan,3.20587e-05,EX_xylan_m,EX_xylan(e)
EX_arabinogal_m,arabinogal,2.19148e-05,EX_arabinogal_m,EX_arabinogal(e)
EX_homogal_m,homogal,0.0001282349,EX_homogal_m,EX_homogal(e)
EX_rhamnogalurI_m,rhamnogalurI,1.44923e-05,EX_rhamnogalurI_m,EX_rhamnogalurI(e)
EX_amylopect900_m,amylopect900,1.56731e-05,EX_amylopect900_m,EX_amylopect900(e)
EX_amylose300_m,amylose300,4.70194e-05,EX_amylose300_m,EX_amylose300(e)
EX_arabinan101_m,arabinan101,0.000166277,EX_arabinan101_m,EX_arabinan101(e)
EX_arabinoxyl_m,arabinoxyl,0.0003066486,EX_arabinoxyl_m,EX_arabinoxyl(e)
EX_bglc_m,bglc,1.41e-08,EX_bglc_m,EX_bglc(e)
EX_dextran40_m,dextran40,0.0001763229,EX_dextran40_m,EX_dextran40(e)
EX_galmannan_m,galmannan,1.41058e-05,EX_galmannan_m,EX_galmannan(e)
EX_glcmannan_m,glcmannan,3.28807e-05,EX_glcmannan_m,EX_glcmannan(e)
EX_levan1000_m,levan1000,1.41058e-05,EX_levan1000_m,EX_levan1000(e)
EX_lichn_m,lichn,8.29755e-05,EX_lichn_m,EX_lichn(e)
EX_lmn30_m,lmn30,0.0004701945,EX_lmn30_m,EX_lmn30(e)
EX_xyluglc_m,xyluglc,1.31462e-05,EX_xyluglc_m,EX_xyluglc(e)
EX_rhamnogalurII_m,rhamnogalurII,0.0002669874,EX_rhamnogalurII_m,EX_rhamnogalurII(e)
EX_acmana_m,acmana,0.2,EX_acmana_m,EX_acmana(e)
EX_glyleu_m,glyleu,0.000460574,EX_glyleu_m,EX_glyleu(e)
EX_sbt_D_m,sbt_D,0.5663714191404118,EX_sbt_D_m,EX_sbt_D(e)
EX_starch1200_m,starch1200,1.6052005801007066e-05,EX_starch1200_m,EX_starch1200(e)
EX_amet_m,amet,0.2,EX_amet_m,EX_amet(e)
EX_cellul_m,cellul,0.0001280991374597,EX_cellul_m,EX_cellul(e)
EX_sel_m,sel,1.0,EX_sel_m,EX_sel(e)
EX_chsterol_m,chsterol,0.0008474274415968,EX_chsterol_m,EX_chsterol(e)
EX_fald_m,fald,0.2,EX_fald_m,EX_fald(e)
EX_glc_D_m,glc_D,0.000914064206445,EX_glc_D_m,EX_glc_D(e)
